climbName,climbID,userID1,userID2,userStars2,climbGrade,userStars1
Shady Lady,106138616,106516756,107250964,3,5.7,3
Shady Lady,106138616,107250871,106478239,3,5.7,3
Shady Lady,106138616,107076137,107700510,3,5.7,3
Shady Lady,106138616,106655109,107051650,3,5.7,3
Shady Lady,106138616,107686628,107785600,3,5.7,3
Mrs. Field's Follies,106138609,108098921,107544688,5,5.8,5
Mrs. Field's Follies,106138609,107026497,107663477,5,5.8,5
Mike Tyson's Face,107034604,105855362,,,5.12a,3
Mike Tyson's Face,107034604,106792700,,,5.12a,3
Lieback and Enjoy It,106138623,107821445,108121087,5,5.10d,5
Lieback and Enjoy It,106138623,107792163,107574703,4,5.10d,4
Lieback and Enjoy It,106138623,107034760,107636562,4,5.10d,4
Lieback and Enjoy It,106138623,108173104,105855362,4,5.10d,4
Lieback and Enjoy It,106138623,105967115,108319693,4,5.10d,4
Lieback and Enjoy It,106138623,106389733,107629487,4,5.10d,4
Lieback and Enjoy It,106138623,106055734,106486112,4,5.10d,4
Kinestetica,105987545,108544845,107544688,5,5.10c,5
Kinestetica,105987545,108096611,106876126,5,5.10c,5
ISO 9000,106896165,108319693,,,5.11b,4
ISO 9000,106896165,107794900,,,5.11b,4
ISO 9000,106896165,106919775,,,5.11b,3
ISO 9000,106896165,107051650,,,5.11b,3
ISO 9000,106896165,107089682,,,5.11b,3
ISO 9000,106896165,106864639,,,5.11b,3
Hardcore Female Rash,105987551,107629487,108121087,4,5.10a,5
Hardcore Female Rash,105987551,107768989,107751353,3,5.10a,3
Hardcore Female Rash,105987551,106803582,106819472,2,5.10a,3
Hardcore Female Rash,105987551,106792700,108291738,1,5.10a,2
Hepatitis C,106782906,107746838,,,5.10d,3
Hepatitis C,106782906,106884299,,,5.10d,3
Hepatitis C,106782906,106619581,,,5.10d,2
Hepatitis C,106782906,106819472,,,5.10d,2
Hepatitis C,106782906,107340553,,,5.10d,2
Shady Lady,106138616,107753484,106792700,3,5.7,3
Shady Lady,106138616,107776619,105860008,3,5.7,3
Shady Lady,106138616,107340553,106754405,3,5.7,3
Shady Lady,106138616,106014521,106337702,2,5.7,2
Shady Lady,106138616,106819472,108121087,2,5.7,2
Shady Lady,106138616,107989551,107148964,2,5.7,2
Mrs. Field's Follies,106138609,107985789,107557929,5,5.8,5
Mrs. Field's Follies,106138609,106876126,107119375,5,5.8,5
Mrs. Field's Follies,106138609,108139891,107917913,5,5.8,5
Mrs. Field's Follies,106138609,108128068,106405973,5,5.8,5
Mrs. Field's Follies,106138609,107792163,106347425,5,5.8,5
Mrs. Field's Follies,106138609,107807423,107089682,5,5.8,5
Lieback and Enjoy It,106138623,106062921,107776098,4,5.10d,4
Lieback and Enjoy It,106138623,105915753,106089213,4,5.10d,4
Lieback and Enjoy It,106138623,106478239,106525658,4,5.10d,4
Lieback and Enjoy It,106138623,106655109,106552384,4,5.10d,4
Lieback and Enjoy It,106138623,106766740,107543118,4,5.10d,4
Lieback and Enjoy It,106138623,107617264,107100410,3,5.10d,4
Lieback and Enjoy It,106138623,107340553,106142131,3,5.10d,3
Lieback and Enjoy It,106138623,106517269,12084,2,5.10d,3
Kinestetica,105987545,107051650,106900293,5,5.10c,5
Kinestetica,105987545,107807423,107034760,5,5.10c,5
